t_ms,x_mm,y_mm,heading_deg,v_mm_s,omega_rad_s,pwmL,pwmR
0,1745.0193419552559,500.0,0.0,19.341955255916723,0.0,2000,2000
1,1745.0576428693928,500.0,0.0,38.300914136924916,0.0,2000,2000
2,1745.114527329872,500.0,0.0,56.884460479366474,0.0,2000,2000
3,1745.1896273578216,500.0,0.0,75.10002794956229,0.0,2000,2000
4,1745.282582260839,500.0,0.0,92.95490301737792,0.0,2000,2000
5,1745.3930384887099,500.0,0.0,110.45622787090866,0.0,2000,2000
6,1745.5206494919832,500.0,0.0,127.61100327345002,0.0,2000,2000
7,1745.665075583347,500.0,0.0,144.42609136389643,0.0,2000,2000
8,1745.8259838017489,500.0,0.0,160.90821840168823,0.0,2000,2000
9,1746.0030477792063,500.0,0.0,177.06397745740514,0.0,2000,2000
10,1746.1959476102563,500.0,0.0,192.89983105008247,0.0,2000,2000
11,1746.4043697239886,500.0,0.0,208.4221137323048,0.0,2000,2000
12,1746.6280067586126,500.0,0.0,223.63703462411155,0.0,2000,2000
13,1746.8665574385093,500.0,0.0,238.55067989672776,0.0,2000,2000
14,1747.1197264537163,500.0,0.0,253.16901520711372,0.0,2000,2000
15,1747.3872243418007,500.0,0.0,267.4978880843073,0.0,2000,2000
16,1747.6687673720692,500.0,0.0,281.54303026851363,0.0,2000,2000
17,1747.964077432073,500.0,0.0,295.3100600038774,0.0,2000,2000
18,1748.272881916359,500.0,0.0,308.80448428585566,0.0,2000,2000
19,1748.5949136174231,500.0,0.0,322.0317010640892,0.0,2000,2000
20,1748.9299106188248,500.0,0.0,334.9970014016546,0.0,2000,2000
21,1749.2776161904164,500.0,0.0,347.70557159155976,0.0,2000,2000
22,1749.6377786856478,500.0,0.0,360.16249523133064,0.0,2000,2000
23,1750.0101514409043,500.0,0.0,372.37275525651756,0.0,2000,2000
24,1750.3944926768384,500.0,0.0,384.34123593393633,0.0,2000,2000
25,1750.7905654016538,500.0,0.0,396.07272481543976,0.0,2000,2000
26,1751.1981373163069,500.0,0.0,407.57191465300235,0.0,2000,2000
27,1751.6169807215829,500.0,0.0,418.8434052758837,0.0,2000,2000
28,1752.0468724270136,500.0,0.0,429.8917054306215,0.0,2000,2000
29,1752.487593661598,500.0,0.0,440.7212345845904,0.0,2000,2000
30,1752.938929986292,500.0,0.0,451.3363246938475,0.0,2000,2000
31,1753.4006712082278,500.0,0.0,461.74122193597293,0.0,2000,2000
32,1753.8726112966365,500.0,0.0,471.94008840859743,0.0,2000,2000
33,1754.3545483004307,500.0,0.0,481.93700379429674,0.0,2000,2000
34,1754.8462842674232,500.0,0.0,491.7359669925191,0.0,2000,2000
35,1755.3476251651425,500.0,0.0,501.3408977191983,0.0,2000,2000
36,1755.8583808032172,500.0,0.0,510.7556380746926,0.0,2000,2000
37,1756.378364757298,500.0,0.0,519.9839540806756,0.0,2000,2000
38,1756.9073942944844,500.0,0.0,529.0295371865957,0.0,2000,2000
39,1757.4452903002307,500.0,0.0,537.8960057463045,0.0,2000,2000
40,1757.991877206696,500.0,0.0,546.5869064654471,0.0,2000,2000
41,1758.5469829225162,500.0,0.0,555.1057158201914,0.0,2000,2000
42,1759.110438763964,500.0,0.0,563.455841447865,0.0,2000,2000
43,1759.6820793874742,500.0,0.0,571.6406235100554,0.0,2000,2000
44,1760.261742723503,500.0,0.0,579.6633360287194,0.0,2000,2000
45,1760.8492699116987,500.0,0.0,587.5271881958353,0.0,2000,2000
